Cycle,Side teeth,,,,,,,,,,,,End teeth,,,,,,,
,Cutting edge 1,,,Cutting edge2,,,Cutting edge 3,,,Cutting edge 4,,,Cutting edge 1,,Cutting edge 2,,Cutting edge 3,,Cutting edge 4,
,"Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)"
,,,,,,,,,,,,,,,,,,,,
37,0.2924,0.2985,0.0817,0.1122,0.1259,0.2608,0.0811,0.0785,0.0253,0.1616,0.1611,0.0713,0.1675,0.0669,0.0659,0.0248,0.1001,0.0333,0.0566,0.0364
38,0.2805,0.1552,0.1349,0.1439,0.1552,0.2719,0.1675,0.1434,0.0824,0.1497,0.1432,0.0731,0.0726,0.0377,0.1081,0.0359,0.0785,0.0320 ,0.0719,0.0482
39,0.1255,0.1149,0.0464,0.1480 ,0.1318,0.2764,0.1672,0.1556,0.035,0.1493,0.1253,0.0301,0.0716,0.0263,0.1122,0.0440 ,0.0836,0.0284,0.1259,0.0335
40,0.1592,0.1671,0.0523,0.1855,0.2507,0.3331,0.1621,0.1374,0.0482,0.1552,0.1493,0.0503,0.1266,0.0305,0.1076,0.0239,0.1194,0.0279,0.0844,0.0266
41,0.2388,0.2149,0.0701 ,0.3165,0.3282,0.3811,0.2986,0.2761,0.0801,0.2572,0.2330 ,0.0846,0.1030 ,0.0592,0.0422,0.0212,0.0955,0.0290 ,0.1838,0.0312
42,0.1671,0.1616,0.0517,0.3581,0.3103,0.3001,0.2330 ,0.2156,0.0564,0.2037,0.1970 ,0.055,0.0719,0.0377,0.0716,0.0276,0.0659,0.0319,0.0994,0.0193
43,0.1313,0.1134,0.077,0.3640 ,0.3347,0.3186,0.3522,0.3223,0.0687,0.2043,0.1918,0.0772,0.0957,0.0331,0.1148,0.0295,0.0719,0.0216,0.0776,0.0219
44,0.2211,0.1977,0.0393,0.2450 ,0.2208,0.2973,0.2686,0.2326,0.1036,0.1552,0.1432,0.0699,0.0903,0.0323,0.0600 ,0.0241,0.0778,0.0337,0.0838,0.0231
45,0.3223,0.2985,0.0988,0.3343,0.3225,0.3356,0.2209,0.2149,0.1161,0.2029 ,0.1910 ,0.056,0.0844,0.0530 ,0.0608,0.0342,0.0838,0.0356,0.0895,0.0325
46,0.1790 ,0.1675,0.0663,0.3492,0.1791,0.3568,0.2925,0.2567,0.0989,0.2806,0.2260 ,0.0613,0.0537,0.0312,0.0838,0.0287,0.0656,0.03214,0.0597,0.0303
47,0.1314 ,0.1189,0.0351 ,0.2746,0.2211,0.2872,0.3168,0.2627,0.0852,0.2029,0.1947 ,0.0732,0.0738,0.0401,0.1015,0.0475,0.0776,0.0339,0.0659,0.0313
