Cycle,Side teeth,,,,,,,,,,,,End teeth,,,,,,,
,Cutting edge 1,,,Cutting edge2,,,Cutting edge 3,,,Cutting edge 4,,,Cutting edge 1,,Cutting edge 2,,Cutting edge 3,,Cutting edge 4,
,"Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)"
,,,,,,,,,,,,,,,,,,,,
27,0.2748,0.2368 ,0.135,0.2509,0.1860 ,0.2424,0.1930 ,0.1854 ,0.1119,0.1911,0.1815,0.0571,0.0778,0.0313,0.0778,0.0372,0.0838,0.0345,0.0836,0.0282
28,0.2371,0.2509 ,0.1371 ,0.2712,0.1911,0.2561,0.2148 ,0.2030 ,0.1134,0.2149,0.2066,0.0582,0.0838,0.0346,0.0876,0.0389,0.0836,0.0408,0.0895,0.0311
29,0.2548,0.2518,0.1401 ,0.2810 ,0.1936,0.2576,0.2318,0.2059,0.1154,0.2152,0.2091,0.0611,0.0838,0.0378,0.0897 ,0.0477,0.0838,0.0410 ,0.0897,0.0367
30,0.2865,0.2686,0.1442,0.2836,0.1974 ,0.2614,0.2386,0.2063,0.1185,0.2268,0.2103,0.0781,0.0844,0.0388,0.0901,0.0487,0.0897,0.0446,0.0962,0.0379
31,0.2805,0.2089,0.1555,0.2090 ,0.2090 ,0.3727,0.3104,0.2805,0.1265,0.1611,0.1376,0.0692,0.0659,0.0313,0.0955,0.0437,0.0836,0.0308,0.1016,0.0257
32,0.2622 ,0.2507,0.1519,0.1195 ,0.0600 ,0.2587,0.1914,0.1314,0.1002,0.1431,0.1373,0.0744,0.0716,0.0382,0.1016,0.0335,0.0895,0.0283,0.1015,0.0337
33,0.3581 ,0.3168,0.1725,0.1301,0.0957,0.2817,0.2388,0.2388,0.067,0.2572 ,0.2627 ,0.0997,0.0597 ,0.0391,0.0667 ,0.0270 ,0.0955,0.0262,0.0836,0.0281
34,0.2268,0.2215,0.1229,0.1022,0.0785,0.4056,0.2209,0.2149,0.1084,0.2924,0.2387,0.1347,0.0836,0.0370 ,0.0650 ,0.0204,0.0844,0.0286,0.1000 ,0.0186
35,0.2089 ,0.2090 ,0.0946,0.2081,0.1911 ,0.26,0.1492,0.1313,0.0424,0.1433,0.1404,0.0267,0.0807,0.0297,0.0903,0.0255,0.0897,0.0372 ,0.1255,0.0318
36,0.2071 ,0.1731,0.0861 ,0.1558,0.1314,0.3528,0.1553,0.1493,0.0667,0.2269,0.1732,0.0846,0.0903,0.0293,0.0716,0.0196,0.0957,0.0398,0.0836,0.0272
